county,cox,hogan,pct_hogan,pct_cox
Allegany,13833,19224,81.69995750106247,66.09489225476611
Anne Arundel,73775,157202,68.58546460389344,43.77091392363006
Baltimore City,11387,58360,31.598724355815932,8.856447310088432
Baltimore County,80759,198122,61.09672007795828,35.73834042120077
Calvert,18447,29610,75.37419814682823,54.80392156862746
Caroline,6727,9489,82.47718383311604,64.70757983839938
Carroll,38969,62445,83.20342167326218,58.21742832812944
Cecil,18159,27063,77.45785511892154,65.2169228559115
Charles,15096,31756,49.34120571783717,30.24523160762943
Dorchester,6169,9205,74.43195601196734,56.62750137690472
Frederick,44307,72560,67.67457260373628,44.748669366648826
Garrett,8195,9472,86.04651162790698,74.52710076391415
Harford,51930,85259,77.10234312120747,53.739405793052065
Howard,33110,80574,56.194946402293155,27.318932655654383
Kent,3718,6370,73.26892109500805,45.12683578104139
Montgomery,58701,180018,44.075822421577364,19.953160159622563
Prince George's,17937,89925,28.19098076712071,8.836961823260763
Queen Anne's,12840,19503,84.90270340864569,57.69749258560258
Saint Mary's,20670,30703,76.00881319007775,56.68449197860963
Somerset,3974,5203,67.55388210854323,61.82327317983821
Talbot,7497,14081,77.41066520065971,46.80651807454579
Washington,27571,38765,76.82170389013298,59.88748425213954
Wicomico,14612,22659,67.57022723206299,52.58384914351518
Worcester,13433,18076,76.09345400968218,59.51969515707386
